trigger_id,term,match_type,category,role,strength,products,networks,asset_ids,static_source_ids,static_basis,first_party_authored_count,referenced_context_count,exact_article_link_basis,review_status,notes
product.ethplorer,Ethplorer,entity,product,positive_trigger,strong,ethplorer,,ethplorer.address-portfolio,ethplorer.article.keep-your-deals-clean;ethplorer.article.lost-in-transactions;ethplorer.article.watching-eth-addresses-service,yes,70,76,ethplorer.article.keep-your-deals-clean;ethplorer.article.lost-in-transactions;ethplorer.article.watching-eth-addresses-service,reviewed,"Exact product name with both static and first-party provenance."
product.binplorer,Binplorer,entity,product,positive_trigger,strong,binplorer,bnb_chain,,,no,15,6,,candidate,"First-party product wording only; reviewed static Binplorer capability evidence is missing."
network.ethereum,Ethereum,entity,network,positive_trigger,normal,ethplorer,ethereum,,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.keep-your-deals-clean;ethplorer.article.the-2024-year-crypto-race;ethplorer.article.watching-eth-addresses-service,yes,65,44,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.keep-your-deals-clean;ethplorer.article.the-2024-year-crypto-race;ethplorer.article.watching-eth-addresses-service,reviewed,"Supported network context; alone it remains broader than a capability."
network.bnb-chain,BNB Chain,entity,network,positive_trigger,normal,binplorer,bnb_chain,,,no,7,3,,candidate,"First-party Binplorer scope candidate without reviewed static capability evidence."
network.bsc,BSC,token,network,positive_trigger,weak,binplorer,bnb_chain,,,no,6,3,,candidate,"Common BNB Smart Chain alias; ambiguous without surrounding product or capability context."
network.erc-20,ERC-20,token,network,positive_trigger,normal,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.what-are-erc-20-tokens;ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,yes,7,5,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,reviewed,"Ethereum token-standard context grounded in reviewed sources."
network.evm,EVM,token,network,context_only,weak,,evm,,,no,1,1,,candidate,"Broad ecosystem term; not evidence that Ethplorer supports every EVM network."
network.blast,Blast,entity,network,context_only,weak,,blast,,,no,3,2,,candidate,"First-party topic signal only; no reviewed static capability is attached."
network.linea,Linea,entity,network,context_only,weak,,linea,,,no,1,0,,candidate,"First-party topic signal only; no reviewed static capability is attached."
infrastructure.blockchain-explorer,blockchain explorer,phrase,infrastructure,positive_trigger,normal,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.bulk-api-monitor;ethplorer.article.what-are-erc-20-tokens,yes,2,2,,reviewed,"Useful infrastructure phrase when combined with a network or user need."
infrastructure.ethereum-explorer,Ethereum explorer,phrase,infrastructure,positive_trigger,normal,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.what-are-erc-20-tokens,yes,0,1,,candidate,"Audience wording mapped to reviewed Ethereum explorer capabilities."
infrastructure.bnb-chain-explorer,BNB Chain explorer,phrase,infrastructure,positive_trigger,strong,binplorer,bnb_chain,,,no,1,0,,candidate,"Specific first-party wording but static Binplorer evidence is not yet reviewed."
capability.wallet-portfolio,wallet portfolio,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.what-are-erc-20-tokens;ethplorer.article.dyor-like-a-pro-with-ethplorer-charts,yes,0,0,,reviewed,"Direct routing phrase for documented address portfolio inspection."
capability.address-portfolio,address portfolio,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.what-are-erc-20-tokens,yes,0,0,,reviewed,"Address-centric synonym grounded in the reviewed portfolio source."
capability.portfolio-tracker,portfolio tracker,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.what-are-erc-20-tokens,yes,0,0,,reviewed,"The source explicitly compares the address view with a portfolio tracker."
capability.token-holdings,token holdings,phrase,capability,positive_trigger,normal,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.what-are-erc-20-tokens,yes,0,0,,reviewed,"Holdings phrase for address portfolio questions."
capability.historical-balance,historical balance,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.market-charts;ethplorer.address-portfolio,ethplorer.article.dyor-like-a-pro-with-ethplorer-charts;ethplorer.article.what-are-erc-20-tokens,yes,1,0,,reviewed,"Documented historical USD balance view; not a current numerical fact."
