asset_id,name,asset_type,product,networks,topics,what_it_can_answer,what_it_cannot_prove,unique_value,source_ids,review_status,last_reviewed
ethplorer.address-portfolio,Address portfolio inspection,product_feature,ethplorer,ethereum,wallet;address;portfolio;holdings,"Inspect an Ethereum address portfolio including token holdings, total USD value, transactions, and historical portfolio context described by the sources.","Does not prove ownership, identity, current price accuracy, tax treatment, or current feature availability.","Combines address-level token balances and USD portfolio context in an explorer workflow.",ethplorer.article.what-are-erc-20-tokens;ethplorer.article.dyor-like-a-pro-with-ethplorer-charts,reviewed,2026-08-17
ethplorer.token-address-search,Token and address search,product_feature,ethplorer,ethereum,search;tokens;addresses;tags,"Search for Ethereum tokens, addresses, public tags, and user-tagged records using the documented Ethplorer search experience.","Does not prove token safety, legitimacy, completeness, or the current ranking algorithm.","One search surface spans tokens, addresses, and known or private tags.",ethplorer.article.ethereum-tokens-extended-search,reviewed,2026-08-17
ethplorer.market-charts,Token and address charts,product_feature,ethplorer,ethereum,charts;historical_balance;price;volume,"Review documented token and address charts including historical USD balances, candles, period highs and lows, moving averages, transfers, volume, and market capitalization.","Does not predict prices, guarantee metric coverage, or prove current chart availability and accuracy.","Places market and address-history views in the same mobile-capable explorer workflow.",ethplorer.article.dyor-like-a-pro-with-ethplorer-charts;ethplorer.article.crypto-market-trends-analyze-tool,reviewed,2026-08-17
ethplorer.token-holder-analytics,Token activity and holder analytics,product_feature,ethplorer,ethereum,tokens;holders;transfers;distribution,"Inspect documented token transfer activity, holder counts or distribution, volume, and public entity-address context for research.","Does not establish project legitimacy, liquidity, current adoption, or a general investment or risk score.","Connects token market metrics with address and holder evidence.",ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.the-2024-year-crypto-race,reviewed,2026-08-17
ethplorer.tags-notes,Address and transaction tags and notes,product_feature,ethplorer,ethereum,tags;notes;organization;accounting,"Organize documented address and transaction records with user tags and notes and reuse them in search and review workflows.","Does not prove identity, accounting completeness, data permanence, or comprehensive scam detection.","Adds user-controlled context to public on-chain records.",ethplorer.article.keep-your-deals-clean;ethplorer.article.ethereum-tokens-extended-search,reviewed,2026-08-17
ethplorer.transaction-export,Transaction and annotation export,product_feature,ethplorer,ethereum,transactions;csv;json;export;import,"Export documented address transaction history and tags or notes to CSV or JSON and import supported annotation data.","Does not guarantee current formats, accounting correctness, tax compliance, or complete data for every workflow.","Makes explorer records portable for manual accounting and analysis.",ethplorer.article.keep-your-deals-clean;ethplorer.article.lost-in-transactions,reviewed,2026-08-17
ethplorer.watching-service,Watching Service,product_feature,ethplorer,ethereum,monitoring;alerts;addresses;token_contracts,"Monitor selected Ethereum addresses or token contracts and receive documented transaction notifications with incoming or outgoing filtering.","Does not guarantee present availability, delivery time, event coverage, theft prevention, or free limits.","Turns address activity into user notifications and combines with tags and filters.",ethplorer.article.watching-eth-addresses-service;ethplorer.article.bulk-api-monitor,reviewed,2026-08-17
ethplorer.api-panel,API Panel,developer_service,ethplorer,ethereum,api;keys;usage;debugging,"Manage documented Ethplorer API keys and review usage charts, limits, and recent requests in an account panel.","Does not establish current endpoints, quotas, pricing, authentication, or service-level guarantees.","Self-service key management and request diagnostics are presented together.",ethplorer.article.shiny-new-api-panel,reviewed,2026-08-17
ethplorer.bulk-api-monitor,Bulk API Monitor,developer_service,ethplorer,ethereum,api;monitoring;addresses;transactions,"Track operations for configured address or token-contract pools through the documented Bulk API Monitor workflow.","Does not prove current capacity, real-time latency, endpoint contract, pricing, or unlimited and million-address claims.","Pool-based retrieval is documented as reducing per-address polling overhead for large monitoring workloads.",ethplorer.article.bulk-api-monitor;ethplorer.article.shiny-new-api-panel,reviewed,2026-08-17
ethplorer.aggregated-rich-list,Aggregated Ethereum Rich List,analytical_product,ethplorer,ethereum,rich_list;holdings;ranking;stablecoins,"Rank Ethereum addresses by documented totalBalanceUsd across ETH, ERC-20 tokens, and stablecoins under stated exclusions and filters.","Does not make article snapshot values current or prove complete entity attribution, liquidity, reproducibility, or present ranking behavior.","Shows address economic weight beyond an ETH-only balance ranking.",ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.cryptodaily-ethereum-rich-list-part-1,reviewed,2026-08-17
ethplorer.balance-composition-analysis,Balance composition and PPI analysis,analytical_method,ethplorer,ethereum,balance_composition;ppi;self_issued_tokens;capital_concentration,"Analyse documented address or project balance composition and use Printing-Press Index to describe the share of own-token value in token holdings.","Does not provide a current PPI, generic risk score, AML conclusion, insolvency prediction, or timeless threshold; current numbers require dated dynamic evidence.","Separates externally sourced holdings from self-issued token exposure within aggregated address analysis.",ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.ethereum-capital-outside-eth-and-defi-self-issued;ethplorer.article.beincrypto-interview-questions-and-answers-altseason,reviewed,2026-08-17
